point_id,member_id,end,D,t,z,zone,propset,environment,category,not_assessable,not_assessable_reason,sn_curve,D_life,D_life_seed_std,D_life_min,D_life_max,life_years,worst_theta_deg,n_bins_used
93,47,2,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,0.00042721696152627625,3.720197078406967e-05,0.00022203160128540827,0.000711751815610471,58518.275844397525,157.5,69
94,48,1,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,0.00038489089969389917,3.514525821768582e-05,0.0001858372297547342,0.0006416754847691505,64953.47128207581,157.5,69
95,48,2,0.8,0.02,-24.614,submerged,1,seawater_cp,B1,False,,B1,0.00028105714976289715,2.4983010183654577e-05,0.00014571194113180294,0.0004743542996223519,88949.88090888373,247.49999999999997,69
96,49,1,0.8,0.02,-43.127,submerged,1,seawater_cp,B1,False,,B1,0.000350935979596724,3.0220687597951147e-05,0.0001826610395354431,0.0005732968765763452,71238.06464281205,337.5,69
97,49,2,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,0.00036142017644494865,3.1230390624182954e-05,0.0001837199854940031,0.0005900828410541767,69171.56713802885,157.5,69
98,50,1,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,0.00032267578531157263,2.938477907330582e-05,0.00015348822165393787,0.0005271997891144847,77477.14931834827,157.5,69
99,50,2,0.8,0.02,-24.614,submerged,1,seawater_cp,B1,False,,B1,0.0002343548751655766,2.0541551452707935e-05,0.00011735820139200135,0.0003803672721761825,106675.82648893895,270.0,69
100,51,1,0.8,0.02,-43.127,submerged,1,seawater_cp,B1,False,,B1,0.0003228211023869674,2.9366033329504294e-05,0.000158875610104026,0.0005313404171111657,77442.27318210556,22.5,69
101,51,2,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,0.00033588626185372157,3.084620199209207e-05,0.0001622781820501901,0.0005502615092232409,74429.95692061826,202.5,69
102,52,1,0.8,0.02,-33.373,submerged,1,seawater_cp,B1,False,,B1,0.00035320111844572917,3.0425161132066265e-05,0.0001789013327504155,0.0005763670625185453,70781.20281728766,202.5,69
103,52,2,0.8,0.02,-24.614,submerged,1,seawater_cp,B1,False,,B1,0.00022671171717086132,2.0962044346348185e-05,0.00011184408757906631,0.0003744618093218375,110272.20080186127,67.5,69
104,53,1,0.8,0.02,-24.614,submerged,1,seawater_cp,B1,False,,B1,9.725280199140918e-05,9.050268765609757e-06,5.4553992411393045e-05,0.0001678215692452282,257062.00220543132,157.5,69
105,53,2,0.8,0.02,-16.371,submerged,1,seawater_cp,B1,False,,B1,7.208315982595124e-05,6.4523999452459e-06,3.829546647939709e-05,0.00012040338808444654,346821.64406171814,337.5,69
