node,family,D_S1-K,life_years_S1-K,D_S1-Y,life_years_S1-Y,D_S2-K,life_years_S2-K,D_S2-Y,life_years_S2-Y,D_S3-K_5,life_years_S3-K_5,D_S3-K_10,life_years_S3-K_10,D_S3-K_15,life_years_S3-K_15,D_S3-K_20,life_years_S3-K_20,D_S3-K_25,life_years_S3-K_25,D_S3-Y_5,life_years_S3-Y_5,D_S3-Y_10,life_years_S3-Y_10,D_S3-Y_15,life_years_S3-Y_15,D_S3-Y_20,life_years_S3-Y_20,D_S3-Y_25,life_years_S3-Y_25,D_S4-K,life_years_S4-K,D_S4-Y,life_years_S4-Y,D_S5-K_5,life_years_S5-K_5,D_S5-K_10,life_years_S5-K_10,D_S5-K_15,life_years_S5-K_15,D_S5-K_20,life_years_S5-K_20,D_S5-K_25,life_years_S5-K_25,D_S5-Y_5,life_years_S5-Y_5,D_S5-Y_10,life_years_S5-Y_10,D_S5-Y_15,life_years_S5-Y_15,D_S5-Y_20,life_years_S5-Y_20,D_S5-Y_25,life_years_S5-Y_25
31,TY,4.315964505560541,5.792448007343632,4.315964505560541,5.792448007343632,1.5350499380131506,16.286115116461982,1.5350499380131506,16.286115116461982,,,,,,,,,,,,,,,,,,,,,0.4053635853337795,61.67302862050327,0.4053635853337795,61.67302862050327,,,,,,,,,,,,,,,,,,,,
33,K,0.9478921717355212,26.374307907013126,20.09063448451217,1.2443608995660367,0.33110495960740294,75.50475845980364,7.6387742944194015,3.272776369143941,,,,,,,,,,,,,,,,,,,,,0.09482061705538443,263.6557404535511,2.29102381487604,10.912151954803084,,,,,,,,,,,,,,,,,,,,
34,K,7.134172857515292,3.504260479708514,30.986657366917967,0.8067988652009477,3.7330041220189396,6.6970191253041325,16.275717123842455,1.5360306283142056,0.9683907694191956,5.163204935337015,2.1121919383792216,4.734418221325777,3.4727628391033134,4.31932749080933,5.103684573662819,3.9187374751191517,7.076151400615704,3.532993937612008,4.259763740147836,1.1737740177642983,9.341629409664687,1.070477061491454,15.454835525883205,0.9705700183530609,22.875614188785377,0.8742934653009173,31.97340248380621,0.7818998935963078,1.7280940502970235,14.466805204093504,7.583484259291783,3.29663768595133,0.49344345065521084,10.13287336849001,1.0608132086300264,9.426730284509157,1.7164271906546753,8.739083184925972,2.478052960781149,8.070852526773868,3.3679142962600785,7.422991739356731,2.177816672217019,2.2958773636855283,4.698221605012138,2.1284649471050576,7.6321038110206345,1.9653820717611628,11.068701211380482,1.8068967278145194,15.12138590302407,1.6532876126784346
35,TY,4.306701634869895,5.804906427132895,4.306701634869895,5.804906427132895,1.529484878686932,16.34537245079702,1.529484878686932,16.34537245079702,,,,,,,,,,,,,,,,,,,,,0.4027882785131724,62.06734737237996,0.4027882785131724,62.06734737237996,,,,,,,,,,,,,,,,,,,,
37,X,10.448958608172981,2.392582929790292,10.448958608172981,2.392582929790292,0.2074742939286434,120.49685542536777,0.2074742939286434,120.49685542536777,,,,,,,,,,,,,,,,,,,,,0.11053851075963274,226.1655221171089,0.11053851075963274,226.1655221171089,,,,,,,,,,,,,,,,,,,,
38,X,10.836068498683431,2.307109815985149,10.836068498683431,2.307109815985149,0.21541891479506256,116.05294745720725,0.21541891479506256,116.05294745720725,,,,,,,,,,,,,,,,,,,,,0.11476589611890299,217.8347474767138,0.11476589611890299,217.8347474767138,,,,,,,,,,,,,,,,,,,,
39,X,74.16205876368302,0.33709959535592665,74.16205876368302,0.33709959535592665,1.8358131783094451,13.61794342440764,1.8358131783094451,13.61794342440764,,,,,,,,,,,,,,,,,,,,,0.9789057209003794,25.538720906652237,0.9789057209003794,25.538720906652237,,,,,,,,,,,,,,,,,,,,
40,X,62.414745061374546,0.40054637690847966,62.414745061374546,0.40054637690847966,1.51634688655979,16.486992667435562,1.51634688655979,16.486992667435562,,,,,,,,,,,,,,,,,,,,,0.8080636714443516,30.938156092717822,0.8080636714443516,30.938156092717822,,,,,,,,,,,,,,,,,,,,
41,X,10.043736873789253,2.489113396154525,10.043736873789253,2.489113396154525,1.240892433465205,20.146790588598595,1.240892433465205,20.146790588598595,,,,,,,,,,,,,,,,,,,,,0.11383044589470862,219.62489739453898,0.11383044589470862,219.62489739453898,,,,,,,,,,,,,,,,,,,,
42,X,10.465864404653006,2.3887181252687815,10.465864404653006,2.3887181252687815,1.299637655909145,19.23613084487889,1.299637655909145,19.23613084487889,,,,,,,,,,,,,,,,,,,,,0.11869461916364367,210.62454369167844,0.11869461916364367,210.62454369167844,,,,,,,,,,,,,,,,,,,,
