member_id,member_class,year,D_fatigue,t_mm,past_static_cutoff
26,leg,55.0,0.22407803357747708,2.0000000000000018,True
26,leg,56.0,0.22891704717701647,1.3999999999999986,True
26,leg,57.0,0.2337721385578359,0.800000000000009,True
27,leg,0.0,0.0,35.0,False
27,leg,1.0,0.0012990693825282,34.4,False
27,leg,2.0,0.0029545966450981276,33.800000000000004,False
27,leg,3.0,0.004778057175151803,33.2,False
27,leg,4.0,0.006719919238059332,32.6,False
27,leg,5.0,0.00875485984387184,32.0,False
27,leg,6.0,0.010867188380897815,31.400000000000006,False
27,leg,7.0,0.01304612263870268,30.8,False
27,leg,8.0,0.015283749354064591,30.200000000000003,False
27,leg,9.0,0.01757398848442496,29.600000000000005,False
27,leg,10.0,0.019912007680965058,29.000000000000004,False
27,leg,11.0,0.022293864821158055,28.400000000000002,False
27,leg,12.0,0.024716276715999835,27.800000000000004,False
27,leg,13.0,0.027176462475116587,27.200000000000003,False
27,leg,14.0,0.02967203345585193,26.6,False
27,leg,15.0,0.03220091355940504,26.000000000000004,False
27,leg,16.0,0.03476128001581905,25.400000000000006,False
27,leg,17.0,0.03735151842535798,24.800000000000004,False
27,leg,18.0,0.039970187978737894,24.200000000000006,False
27,leg,19.0,0.042615994108921924,23.6,False
27,leg,20.0,0.04528776667559586,23.000000000000004,False
27,leg,21.0,0.04798444234013848,22.400000000000002,False
27,leg,22.0,0.05070505016342717,21.800000000000004,False
27,leg,23.0,0.053448699716427545,21.200000000000003,False
27,leg,24.0,0.05621457117424197,20.60000000000001,False
27,leg,25.0,0.059001906993351685,20.000000000000004,False
27,leg,26.0,0.061810004865441866,19.400000000000006,False
27,leg,27.0,0.06463821171015788,18.800000000000004,False
27,leg,28.0,0.06748591852059634,18.2,False
27,leg,29.0,0.07035255591419794,17.600000000000005,False
27,leg,30.0,0.07323759027139386,17.000000000000004,False
27,leg,31.0,0.07614052036726562,16.400000000000006,False
27,leg,32.0,0.07906087441932766,15.800000000000004,False
27,leg,33.0,0.08199820748857213,15.200000000000001,False
27,leg,34.0,0.08495209918203728,14.600000000000005,False
27,leg,35.0,0.08792215161404285,14.000000000000002,False
27,leg,36.0,0.09090798759038327,13.400000000000006,False
27,leg,37.0,0.09390924898555736,12.800000000000002,False
27,leg,38.0,0.0969255952878321,12.200000000000003,False
27,leg,39.0,0.0999567022908076,11.600000000000007,False
27,leg,40.0,0.10300226091334087,11.000000000000004,False
27,leg,41.0,0.1060619761323322,10.400000000000006,False
27,leg,42.0,0.10913556601508162,9.800000000000002,False
27,leg,43.0,0.11222276083976922,9.200000000000003,False
27,leg,44.0,0.11532330229416522,8.600000000000003,False
27,leg,45.0,0.11843694274398646,8.000000000000004,False
27,leg,46.0,0.12156344456342845,7.400000000000004,False
27,leg,47.0,0.12470257952134921,6.800000000000004,True
27,leg,48.0,0.12785412821738928,6.200000000000007,True
27,leg,49.0,0.13101787956300776,5.600000000000004,True
27,leg,50.0,0.13419363030300993,5.000000000000004,True
27,leg,51.0,0.13738118457365947,4.400000000000005,True
27,leg,52.0,0.14058035349391285,3.8000000000000047,True
27,leg,53.0,0.14379095478670312,3.200000000000008,True
27,leg,54.0,0.14701281242753728,2.600000000000005,True
27,leg,55.0,0.15024575631796694,2.0000000000000018,True
27,leg,56.0,0.15348962198175053,1.3999999999999986,True
27,leg,57.0,0.15674425028175212,0.800000000000009,True
30,leg,0.0,0.0,35.0,False
30,leg,1.0,0.0024350369731793,34.4,False
30,leg,2.0,0.005539391795970985,33.800000000000004,False
30,leg,3.0,0.008959180042000603,33.2,False
30,leg,4.0,0.01260139447870766,32.6,False
30,leg,5.0,0.01641847971396136,32.0,False
30,leg,6.0,0.020380967094100384,31.400000000000006,False
30,leg,7.0,0.024468605183985557,30.8,False
30,leg,8.0,0.028666530308165208,30.200000000000003,False
30,leg,9.0,0.032963321669888905,29.600000000000005,False
30,leg,10.0,0.03734990180091066,29.000000000000004,False
30,leg,11.0,0.04181886525310484,28.400000000000002,False
30,leg,12.0,0.046364044225418496,27.800000000000004,False
30,leg,13.0,0.05098021439079815,27.200000000000003,False
30,leg,14.0,0.05566288820578098,26.6,False
30,leg,15.0,0.06040816521207014,26.000000000000004,False
30,leg,16.0,0.06521262081728206,25.400000000000006,False
30,leg,17.0,0.0700732218505804,24.800000000000004,False
30,leg,18.0,0.07498726123559765,24.200000000000006,False
30,leg,19.0,0.07995230662113281,23.6,False
30,leg,20.0,0.08496615940338413,23.000000000000004,False
30,leg,21.0,0.090026821618948,22.400000000000002,False
30,leg,22.0,0.09513246889118497,21.800000000000004,False
30,leg,23.0,0.10028142809635615,21.200000000000003,False
30,leg,24.0,0.10547215875535206,20.60000000000001,False
30,leg,25.0,0.11070323739922594,20.000000000000004,False
30,leg,26.0,0.11597334433263867,19.400000000000006,False
30,leg,27.0,0.12128125234884017,18.800000000000004,False
30,leg,28.0,0.12662581704645404,18.2,False
30,leg,29.0,0.13200596847132637,17.600000000000005,False
30,leg,30.0,0.1374207038624549,17.000000000000004,False
30,leg,31.0,0.1428690813240418,16.400000000000006,False
30,leg,32.0,0.14835021427923906,15.800000000000004,False
30,leg,33.0,0.1538632665875097,15.200000000000001,False
30,leg,34.0,0.1594074482284167,14.600000000000005,False
30,leg,35.0,0.16498201147133684,14.000000000000002,True
30,leg,36.0,0.17058624746402015,13.400000000000006,True
30,leg,37.0,0.1762194831837892,12.800000000000002,True
30,leg,38.0,0.18188107870403514,12.200000000000003,True
30,leg,39.0,0.18757042473593658,11.600000000000007,True
30,leg,40.0,0.19328694041132022,11.000000000000004,True
30,leg,41.0,0.1990300712775527,10.400000000000006,True
30,leg,42.0,0.20479928747949375,9.800000000000002,True
30,leg,43.0,0.2105940821070069,9.200000000000003,True
30,leg,44.0,0.21641396968944174,8.600000000000003,True
30,leg,45.0,0.22225848482096247,8.000000000000004,True
30,leg,46.0,0.2281271809026886,7.400000000000004,True
30,leg,47.0,0.23401962898939066,6.800000000000004,True
30,leg,48.0,0.23993541673000543,6.200000000000007,True
30,leg,49.0,0.2458741473925372,5.600000000000004,True
30,leg,50.0,0.2518354389650355,5.000000000000004,True
30,leg,51.0,0.25781892332530654,4.400000000000005,True
30,leg,52.0,0.2638242454728563,3.8000000000000047,True
30,leg,53.0,0.2698510628172906,3.200000000000008,True
30,leg,54.0,0.275899044518033,2.600000000000005,True
30,leg,55.0,0.2819678708707757,2.0000000000000018,True
30,leg,56.0,0.28805723273656497,1.3999999999999986,True
30,leg,57.0,0.2941668310098475,0.800000000000009,True
31,leg,0.0,0.0,35.0,False
31,leg,1.0,0.0016236419318663,34.4,False
31,leg,2.0,0.003692689551041143,33.800000000000004,False
31,leg,3.0,0.005971564821589856,33.2,False
31,leg,4.0,0.008398376423239174,32.6,False
31,leg,5.0,0.010941483107236166,32.0,False
31,leg,6.0,0.013581279583425756,31.400000000000006,False
31,leg,7.0,0.01630429369426457,30.8,False
31,leg,8.0,0.01910063805026153,30.200000000000003,False
31,leg,9.0,0.02196271586645984,29.600000000000005,False
31,leg,10.0,0.024884489338448074,29.000000000000004,False
31,leg,11.0,0.027861032984464844,28.400000000000002,False
31,leg,12.0,0.030888244645072675,27.800000000000004,False
31,leg,13.0,0.0339626497687518,27.200000000000003,False
31,leg,14.0,0.03708126390448171,26.6,False
31,leg,15.0,0.04024149311300951,26.000000000000004,False
31,leg,16.0,0.04344105997887452,25.400000000000006,False
31,leg,17.0,0.046677947435686595,24.800000000000004,False
31,leg,18.0,0.04995035530976921,24.200000000000006,False
31,leg,19.0,0.053256666149431295,23.6,False
31,leg,20.0,0.056595417967222554,23.000000000000004,False
31,leg,21.0,0.059965282218122085,22.400000000000002,False
31,leg,22.0,0.06336504580458069,21.800000000000004,False
31,leg,23.0,0.06679359622121804,21.200000000000003,False
31,leg,24.0,0.07024990917779206,20.60000000000001,False
31,leg,25.0,0.07373303820031701,20.000000000000004,False
31,leg,26.0,0.07724210582722679,19.400000000000006,False
31,leg,27.0,0.08077629610364408,18.800000000000004,False
31,leg,28.0,0.08433484814110744,18.2,False
31,leg,29.0,0.08791705055866825,17.600000000000005,False
31,leg,30.0,0.09152223665836001,17.000000000000004,False
31,leg,31.0,0.09514978021666504,16.400000000000006,False
31,leg,32.0,0.09879909179590649,15.800000000000004,False
31,leg,33.0,0.10246961549702395,15.200000000000001,False
31,leg,34.0,0.10616082608908707,14.600000000000005,False
31,leg,35.0,0.10987222646199979,14.000000000000002,False
31,leg,36.0,0.11360334535777807,13.400000000000006,False
31,leg,37.0,0.11735373534301556,12.800000000000002,False
31,leg,38.0,0.12112297099104832,12.200000000000003,True
31,leg,39.0,0.1249106472471639,11.600000000000007,True
31,leg,40.0,0.12871637795418694,11.000000000000004,True
31,leg,41.0,0.13253979451907905,10.400000000000006,True
31,leg,42.0,0.13638054470394573,9.800000000000002,True
31,leg,43.0,0.14023829152714776,9.200000000000003,True
31,leg,44.0,0.1441127122621556,8.600000000000003,True
31,leg,45.0,0.148003497523422,8.000000000000004,True
31,leg,46.0,0.15191035042993914,7.400000000000004,True
31,leg,47.0,0.1558329858383279,6.800000000000004,True
31,leg,48.0,0.15977112963831946,6.200000000000007,True
31,leg,49.0,0.16372451810435593,5.600000000000004,True
31,leg,50.0,0.16769289729778217,5.000000000000004,True
31,leg,51.0,0.17167602251474717,4.400000000000005,True
31,leg,52.0,0.1756736577754892,3.8000000000000047,True
31,leg,53.0,0.1796855753511653,3.200000000000008,True
