member_id,max_tensile_N,max_compressive_N,mean_tensile_unweighted_N,mean_compressive_unweighted_N,mean_tensile_weighted_N,mean_compressive_weighted_N
43,306674.91656118626,-720836.5642672915,80421.01199952276,-282653.8161518867,40895.67858331589,-280999.52763594413
44,276809.0005306351,-673659.0398843561,53819.45247744164,-247285.3818611361,26060.544110612256,-245856.7694279992
45,318265.0018819459,-1253188.3329809338,65201.724544140176,-421574.9304433892,15406.416280170484,-422351.5666172161
46,343244.04238329385,-1185077.0808678088,65601.47382971854,-375379.3357588439,22040.429293872665,-375602.7777017175
47,634685.628459917,-952525.991483142,71460.16639286168,-303725.5130792919,34445.23614872839,-302930.6048566955
48,633835.5493318336,-906830.1505056848,71847.25148877822,-279800.9080851637,34977.481312144526,-279134.1705517361
49,291397.94851304684,-1093653.3189768223,59100.77408554678,-427768.5417064246,12535.397867480257,-430258.1296441457
50,319885.8275395228,-1026261.744482191,61332.15222534463,-380680.9363110422,18507.64146358188,-382686.6205366774
51,359398.35601489496,-1023614.2567969556,64037.401268159854,-318494.83785383875,30819.21839519093,-314699.9926928916
52,367721.5189197709,-974108.8203002828,63535.88662212932,-293299.42033512786,30851.87885692537,-289836.14952683134
53,287764.3538161302,-604812.1540169425,54453.71925445877,-206376.9194326042,22542.11903071874,-207434.32558114344
54,326422.2537742879,-531306.086105558,54157.57910105053,-151578.54526760115,27754.99832420655,-151945.70574439244
55,233686.86338390896,-642578.3057428489,50044.55596118201,-198929.26355335728,23300.65725444323,-197546.52909794747
56,272290.31687378447,-569772.9216812877,49544.27890671772,-141569.02404123568,28934.998825744056,-139905.74000787042
57,235179.72221775644,-665111.3895505694,50188.823501949584,-206512.3352501873,22434.162651227656,-204635.422213884
58,276820.31364874484,-589607.4898649518,48322.55336750974,-147862.52415253938,27666.052287410548,-145477.84027405284
59,310387.4064671335,-611028.6330647952,56409.94809431122,-189518.7638897393,28474.936081202257,-190211.83940597187
60,355963.92200562195,-530016.8889321397,56446.9079031281,-130862.9347612166,31031.340211826155,-130476.25625574484
61,374674.6056342881,-1044651.8129472716,63064.353927511314,-261247.80165478936,27768.76478981005,-261049.6243748834
62,420069.0077157945,-946008.6350890888,62585.90889199948,-196409.86746465415,37005.42066520702,-195108.3398359238
63,665576.891717511,-742730.4080428996,80438.39421578492,-150294.20724567602,51171.92894682876,-146037.4456530747
64,665481.8128367219,-683039.0730734065,79917.50884933569,-120506.58443499837,52888.362433083086,-117459.39713183769
65,409294.4483709368,-841434.5813380391,63639.08985378342,-258177.7778610636,25972.40629609429,-260490.3782293499
66,448023.3948832648,-755294.0238344851,64311.25037505303,-193850.72964749628,35223.267116520576,-194729.48523831528
67,496302.94573292334,-770687.3712277648,72543.48357308625,-153497.03398159932,49029.283832473215,-147706.84422353454
68,498573.50009142334,-710407.4379894622,71451.01626102354,-123562.10045003584,50258.90529059203,-118889.97010894243
69,395649.20552641206,-421275.7964564801,56222.81966976718,-78231.06839022975,41955.66074354337,-78647.50156894157
70,432137.5777028486,-346470.2279271852,48905.42471462363,-46811.83206978023,48002.20556705995,-41504.29031946086
71,340397.70952066977,-477338.57606856746,54020.30579403036,-73878.41615608617,43603.56901860991,-72586.90649572173
72,384184.91674942337,-410996.0722985171,53904.50840445195,-46002.0037613911,54210.79838505999,-38266.26778322095
73,341544.8315324601,-489274.8889180399,50627.17663604481,-78126.28259557922,40986.85364190641,-76492.69762144699
74,369574.0908814176,-432220.935678549,42782.93850660879,-53999.55252258505,44194.652138012425,-44638.383744797626
75,429845.87926275656,-401184.18556106417,60746.32035032751,-67754.67550278515,45954.94448393312,-68254.78606349434
